Freq;V_s;V/div
10;0.88;0.2
15;1.05;0.2
20;1.14;0.2
30;1.23;0.2
50;1.32;0.2
70;1.4;0.2
100;1.51;0.2
200;1.93;0.5
300;2.33;0.5
400;2.75;0.5
500;3.22;0.5
600;3.66;0.5
700;4.14;1
800;4.58;1
900;5.07;1
1000;5.47;1
1300;6.71;1
1600;7.9;2
2000;9.2;2
3000;11.4;2
4000;12.7;2
5000;13.4;2
6000;13.9;2
7000;14.2;2
8000;14.5;2
9000;14.6;2
10000;14.7;2
15000;15;2
20000;15.1;2
25000;15.1;2
50000;15.2;2
